fid,DamID,DamName,Lat,Lon,FlagType,InstllCap,MaxVol,MaxVolSrc,MinVol,MinVolSrc,MaxH,MinH,MaxHSrc,MinHSrc,NmEnrgy01a,NmEnrgy01b,NmEnrgy01c,NmEnrgy01d,DisDur01a,DisDur01b,DisDur01c,DisDur01d,HisMaxVol,HisMinVol,HisMeanVol,HisMedVol,HisVol_25,HisVol_75,HisMaxH,HisMinH,HisMeanH,HisMedH,HisH_25,HisH_75,HisSrc,HisPeriod,NmEnrgy02a,NmEnrgy02b,NmEnrgy02c,NmEnrgy02d,NmEnrgy02e,NmEnrgy02f,DisDur02a,DisDur02b,DisDur02c,DisDur02d,DisDur02e,DisDur02f
"386",CO01650,CARTER LAKE DAM NO. 1,40.3243,-105.2119,Conventional storage dam,2.6,138.43099344,NID2019,124.6,GRanDv1.3,45.65904,45.5,NID2019,GRanDv1.3,17223.706576803,15448.8425,8611.8532884015,7724.42125,6624.50252953962,5941.8625,3312.25126476981,2970.93125,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"387",CO01654,FLATIRON,40.3729,-105.2286,Conventional storage dam,4.5,0.9374448,NID2019,0.78,HydroLAKES,18.34896,18.34896,NID2019,NID2019,46.8730986994368,39.00071448,23.4365493497184,19.50035724,10.4162441554304,8.66682544,5.2081220777152,4.33341272,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"388",CO01656,GRANBY,40.14772,-105.86588,Conventional storage dam,1.2,665.7831648,NID2019,574.3,GRanDv1.3,63.7,63.58128,GRanDv1.3,NID2019,115568.306203896,99502.6368084,57784.153101948,49751.3184042,96306.92183658,82918.864007,48153.46091829,41459.4320035,659.347,421.735,545.443,566.335,492.801,596.834,67.555,58.567,63.403,64.271,61.475,65.371,USBR,1970-2021,121377.848,67306.405,94238.285,99187.016,82553.956,106318.186,101148.206666667,56088.6708333333,78531.9041666667,82655.8466666667,68794.9633333333,88598.4883333333
"389",CO01658,GREEN MOUNTAIN,39.8777,-106.3301,Conventional storage dam,26,189.5118672,NID2019,139.1,GRanDv1.3,65.92824,65.8,NID2019,GRanDv1.3,34046.6510283365,24941.3255,17023.3255141683,12470.66275,1309.48657801294,959.28175,654.743289006471,479.640875,188.363,61.067,112.541,93.74,86.38,141.997,76.055,54.853,64.793,62.213,60.757,70.125,USBR,1970-2021,39038.492,9128.008,19870.513,15891.626,14301.324,27134.505,1501.48046153846,351.077230769231,764.2505,611.216384615385,550.050923076923,1043.63480769231
"390",CO01660,MARYS LAKE DIKE NO. 1,40.3424,-105.531,Run-of-River,8.1,1.14343596,NID2019,0.9,HydroLAKES,5.7912,5.7912,NID2019,NID2019,18.0445857534792,14.202918,9.0222928767396,7.101459,2.227726636232,1.75344666666667,1.113863318116,0.876723333333333,0.806,0.806,0.806,0.806,0.806,0.806,4.366,4.366,4.366,4.366,4.366,4.366,Gao,1984-2018,9.594,9.594,9.594,9.594,9.594,9.594,1.18444444444444,1.18444444444444,1.18444444444444,1.18444444444444,1.18444444444444,1.18444444444444
"391",CO01662,OLYMPUS,40.3755,-105.4876,Conventional storage dam,45,3.78431664,NID2019,2.4,HydroLAKES,13.716,13.716,NID2019,NID2019,141.442997168304,89.70264,70.721498584152,44.85132,3.1431777148512,1.993392,1.5715888574256,0.996696,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"392",CO01663,RATTLESNAKE,40.3679,-105.2869,Has PS already,86,2.69021988,NID2019,1.32,HydroLAKES,27.7368,27.7368,NID2019,NID2019,203.334297341666,99.7692696,101.667148670833,49.8846348,2.36435229467054,1.16010778604651,1.18217614733527,0.580053893023256,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"393",CO01664,RUEDI,39.3624,-106.8181,Run-of-River,5,160.4,GRanDv1.3,126.27504804,NID2019,68.70192,61.6,NID2019,GRanDv1.3,30028.9222128,21196.5295639944,15014.4611064,10598.2647819972,6005.78444256,4239.30591279888,3002.89222128,2119.65295639944,125.256,68.898,91.075,87.366,77.15,102.097,80.853,64.058,71.153,70.303,66.957,74.691,USBR,1970-2021,27596.861,12026.77,17658.623,16737.193,14076.623,20780.164,5519.3722,2405.354,3531.7246,3347.4386,2815.3246,4156.0328
"394",CO01669,SUGAR LOAF,39.2531,-106.3727,Canal/conduit,2.5,167.2,GRanDv1.3,159.60984504,NID2019,34.56432,34.3,NID2019,GRanDv1.3,15748.1954784,14918.3331912762,7874.0977392,7459.1665956381,6299.27819136,5967.33327651048,3149.63909568,2983.66663825524,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"395",CO01670,WILLOW CREEK BOR CO,40.1473,-105.9421,Conventional storage dam,-99999,13.8,GRanDv1.3,13.01691444,NID2019,27.3,27.09672,GRanDv1.3,NID2019,1026.6165,961.150243926635,513.30825,480.575121963318,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"396",CO01675,BLUE MESA,38.4533,-107.3342,Conventional storage dam,86.4,923.2,GRanDv1.3,923.1734364,NID2019,83.3,83.2104,GRanDv1.3,NID2019,209559.476,209328.044235796,104779.738,104664.022117898,2425.45689814815,2422.77828976615,1212.72844907407,1211.38914488308,1021.374,8.02,671.378,690.824,531.688,811.957,109.859,44.256,98.793,100.105,94.66,103.907,USBR,1965-2021,305763.708,967.199,180741.52,188447.165,137148.849,229903.649,3538.93180555556,11.1944328703704,2091.91574074074,2181.10144675926,1587.3709375,2660.92186342593
"397",CO01676,BLACKMAN_*,39.09304,-107.97747,Conventional storage dam,-99999,0.09621144,NID2019,0.09621144,NID2019,4.69392,4.69392,NID2019,NID2019,1.23063398666208,1.23063398666208,0.61531699333104,0.61531699333104,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"398",CO01677,BONHAM-WELLS,39.10333,-107.90222,Conventional storage dam,15.5,1.50854604,NID2019,1.43,HydroLAKES,8.10768,8.10768,NID2019,NID2019,33.3289533194251,31.59360204,16.6644766597126,15.79680102,2.15025505286614,2.03829690580645,1.07512752643307,1.01914845290323,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"399",CO01685,JACKSON GULCH,37.3986,-108.2742,Conventional storage dam,0.254,12.3,GRanDv1.3,12.273126,NID2019,38.5,38.4048,GRanDv1.3,NID2019,1290.42375,1284.42043712808,645.211875,642.21021856404,5080.40846456693,5056.77337452,2540.20423228346,2528.38668726,12.416,0.261,6.928,6.494,4.596,9.03,30.211,0.398,22.126,22.225,18.598,26.053,USBR,1949-2021,1022.162,0.284,417.72,393.315,232.919,641.089,4024.25984251969,1.11811023622047,1644.56692913386,1548.4842519685,917.003937007874,2523.97244094488
"400",CO01687,KITSON_*,39.0811,-107.9519,Conventional storage dam,-99999,0.2220264,NID2019,0.2220264,NID2019,2.98704,2.98704,NID2019,NID2019,1.8072247356576,1.8072247356576,0.9036123678288,0.9036123678288,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"401",CO01688,LEMON,37.3819,-107.661,Conventional storage dam,0.12,49.51928808,NID2019,48.1,GRanDv1.3,60.9,59.7408,GRanDv1.3,NID2019,8217.8496550962,7830.376008,4108.9248275481,3915.188004,68482.080459135,65253.1334,34241.0402295675,32626.5667,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"402",CO01689,MORROW POINT,38.4519,-107.538,Conventional storage dam,173.2,144.5515212,NID2019,52,GRanDv1.3,100.1,99.85248,GRanDv1.3,NID2019,39429.679816527,14149.096416,19714.8399082635,7074.548208,227.654040511126,81.6922425866051,113.827020255563,40.8461212933025,146.494,94.48,138.152,138.919,136.343,141.21,116.029,52.605,112.741,113.694,112.757,114.419,USBR,1968-2021,46318.222,13543.519,42442.752,43039.389,41893.13,44028.188,267.426224018476,78.195837182448,245.050531177829,248.495317551963,241.877193995381,254.204318706697
"403",CO01695,VALLECITO,37.3765,-107.5729,Conventional storage dam,5.8,159.982356,NID2019,154.7,GRanDv1.3,34.56432,34.3,NID2019,GRanDv1.3,15068.3816709508,14459.42225,7534.19083547541,7229.711125,2597.99683981911,2493.0038362069,1298.99841990955,1246.50191810345,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"404",CO01754,COTTONWOOD #1,39.075,-107.97056,Conventional storage dam,-99999,2.34607896,NID2019,0.56,HydroLAKES,6.61416,6.61416,NID2019,NID2019,42.2847558983506,10.09320816,21.1423779491753,5.04660408,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"405",CO01755,COTTONWOOD NO 2 WEST_*,39.0808,-107.9836,Conventional storage dam,-99999,0.2713656,NID2019,0.2713656,NID2019,1.8288,1.8288,NID2019,NID2019,1.352345040288,1.352345040288,0.676172520144,0.676172520144,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"406",CO01756,COTTONWOOD #4,39.075,-107.95222,Conventional storage dam,-99999,0.57,HydroLAKES,0.45885456,NID2019,4.69392,4.69392,NID2019,NID2019,7.29083124,5.86917747484992,3.64541562,2.93458873742496,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"407",CO01961,LITTLE MEADOWS PARKER BASIN_*,39.0961,-107.9528,Conventional storage dam,-99999,0.11964756,NID2019,0.11964756,NID2019,5.12064,5.12064,NID2019,NID2019,1.66953142246464,1.66953142246464,0.83476571123232,0.83476571123232,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"408",CO02005,DILLON,39.6217,-106.0621,Conventional storage dam,1.8,376.2,GRanDv1.3,313.30392,NID2019,66.1416,65.8,NID2019,GRanDv1.3,67804.730532,56176.9593756,33902.365266,28088.4796878,37669.29474,31209.4218753333,18834.64737,15604.7109376667,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"409",CO02045,TWIN LAKES,39.0773,-106.3035,Conventional storage dam,-99999,173.92068,NID2019,70.48,HydroLAKES,16.764,16.764,NID2019,NID2019,7945.027111692,3219.660312,3972.513555846,1609.830156,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"410",CO02219,STRONTIA SPRINGS,39.4327,-105.1262,Conventional storage dam,1.25,9.497796,NID2019,9.497796,NID2019,63.79464,63.79464,NID2019,NID2019,1651.10059877162,1651.10059877162,825.550299385812,825.550299385812,1320.8804790173,1320.8804790173,660.440239508649,660.440239508649,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"411",CO02379,GEORGETOWN FOREBAY,39.6919,-105.6981,Conventional storage dam,-99999,0.9991188,NID2019,0.9991188,NID2019,4.48056,4.48056,NID2019,NID2019,12.1987669656888,12.1987669656888,6.0993834828444,6.0993834828444,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"412",CO02450,FOOSES,38.54028,-106.2477,Run-of-River,0.6,0.01726872,NID2019,0.01726872,NID2019,7.04088,7.04088,NID2019,NID2019,0.33132453487056,0.33132453487056,0.16566226743528,0.16566226743528,0.5522075581176,0.5522075581176,0.2761037790588,0.2761037790588,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"413",CO02534,ASPAAS,37.5916,-107.8006,Conventional storage dam,-99999,0.02960352,NID2019,0.02960352,NID2019,7.62,7.62,NID2019,NID2019,0.61470229104,0.61470229104,0.30735114552,0.30735114552,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"414",CO02572,TAYLOR DRAW,40.1075,-108.7132,Run-of-River,2.3,27.4,GRanDv1.3,17.022024,NID2019,17.5,17.28216,GRanDv1.3,NID2019,1306.6375,801.633257745264,653.31875,400.816628872632,568.103260869565,348.53619901968,284.051630434783,174.26809950984,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"415",CO02702,STAGECOACH,40.2851,-106.8306,Run-of-River,0.8,51.4,GRanDv1.3,44.94677772,NID2019,32.004,30.8,NID2019,GRanDv1.3,4482.64026,3772.3830540396,2241.32013,1886.1915270198,5603.300325,4715.4788175495,2801.6501625,2357.73940877475,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"416",CO02706,RIDGWAY,38.2366,-107.7585,Conventional storage dam,8,104.1180468,NID2019,82.09,HydroLAKES,67.3608,67.3608,NID2019,NID2019,19111.7191757628,15068.2909962,9555.85958788141,7534.1454981,2388.96489697035,1883.536374525,1194.48244848518,941.7681872625,104.26,1.021,81.152,83.498,76.236,90.86,65.782,21.75,59.644,60.664,58.703,62.557,USBR,1986-2021,18689.139,60.532,13189.668,13803.022,12195.154,15488.689,2336.142375,7.5665,1648.7085,1725.37775,1524.39425,1936.086125
"417",CO02707,MCPHEE,37.5774,-108.572,Run-of-River,12.6,469.95588,NID2019,282.5,GRanDv1.3,63,62.9412,GRanDv1.3,NID2019,80679.675699,48452.922525,40339.8378495,24226.4612625,6403.148865,3845.47004166667,3201.5744325,1922.73502083333,470.983,37.493,330.219,351.206,265.959,396.737,77.51,21.788,67.759,70.237,63.899,73.165,USBR,1984-2021,99478.162,2226.085,60972.785,67219.433,46310.374,79098.819,7895.09222222222,176.673412698413,4839.10992063492,5334.87563492064,3675.42650793651,6277.68404761905
"418",CO02812,LAKEWOOD RESERVOIR,39.99056,-105.49944,Canal/conduit,3.3,0.05180616,NID2019,0.05180616,NID2019,4.69392,4.69392,NID2019,NID2019,0.66264906974112,0.66264906974112,0.33132453487056,0.33132453487056,0.2008027484064,0.2008027484064,0.1004013742032,0.1004013742032,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"419",CO02871,HAY PRESS PARK - DAM #2,37.68623,-106.85274,Conventional storage dam,-99999,0.246696,NID2019,0.246696,NID2019,2.4384,2.4384,NID2019,NID2019,1.63920610944,1.63920610944,0.81960305472,0.81960305472,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"420",CO02955,SHOSHONE DIVERSION DAM,39.58783,-107.19405,Conventional storage dam,-99999,0.5180616,NID2019,0.5180616,NID2019,5.7912,5.7912,NID2019,NID2019,8.175540470832,8.175540470832,4.087770235416,4.087770235416,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"421",CO03017,REDLANDS,39.0287,-108.56291,Conventional storage dam,1.4,0.3207048,NID2019,0.3207048,NID2019,2.667,2.667,NID2019,NID2019,2.33074618686,2.33074618686,1.16537309343,1.16537309343,1.6648187049,1.6648187049,0.83240935245,0.83240935245,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"422",CO82444,CURRIER *,39.0883,-107.9783,Conventional storage dam,-99999,0.02713656,NID2019,0.02713656,NID2019,2.34696,2.34696,NID2019,NID2019,0.17355094683696,0.17355094683696,0.08677547341848,0.08677547341848,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"423",CO82913,LITTLE HELL CREEK DIVERSION,40.3635,-105.3248,Conventional storage dam,-99999,0.123348,NID2019,0.123348,NID2019,9.17448,9.17448,NID2019,NID2019,3.083756493384,3.083756493384,1.541878246692,1.541878246692,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"424",CT00001,HARTFORD RESERVOIR #1 DAM,41.7501,-72.77638,Conventional storage dam,-99999,0.518801688,NID2019,0.518801688,NID2019,9.81456,9.81456,NID2019,NID2019,13.8751830538131,13.8751830538131,6.93759152690655,6.93759152690655,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"425",CT00023,STEVENSON,41.3832,-73.1721,Conventional storage dam,30.5,29.0114496,NID2019,29.0114496,NID2019,21.97608,21.97608,NID2019,NID2019,1737.34537921217,1737.34537921217,868.672689606086,868.672689606086,56.962143580727,56.962143580727,28.4810717903635,28.4810717903635,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"426",CT00026,LAKE HOUSATONIC,41.3252,-73.1029,Conventional storage dam,8.6,5.427312,NID2019,5.427312,NID2019,5.376672,5.376672,NID2019,NID2019,79.5178883689344,79.5178883689344,39.7589441844672,39.7589441844672,9.24626608941098,9.24626608941098,4.62313304470549,4.62313304470549,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"427",CT00039,RAINBOW RESERVOIR DAM,41.9153,-72.69366,Conventional storage dam,8,5.920704,NID2019,3.72,HydroLAKES,9.131808,9.131808,NID2019,NID2019,147.331845116467,92.569137696,73.6659225582336,46.284568848,18.4164806395584,11.571142212,9.2082403197792,5.785571106,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"428",CT00089,KINNEYTOWN,41.36922,-73.08444,Run-of-River,2.3,1.08669588,NID2019,1.08669588,NID2019,4.37388,4.37388,NID2019,NID2019,12.9521358485492,12.9521358485492,6.47606792427462,6.47606792427462,5.63136341241271,5.63136341241271,2.81568170620636,2.81568170620636,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"429",CT00134,HANOVER POND,41.52022,-72.826,Run-of-River,0.22,2.220264,NID2019,1.01,HydroLAKES,4.66344,4.66344,NID2019,NID2019,28.214835158736,12.83495274,14.107417579368,6.41747637,128.249250721527,58.3406942727273,64.1246253607636,29.1703471363636,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"430",CT00182,MECHANICSVILLE,41.943,-71.8955,Conventional storage dam,0.325,0.4070484,NID2019,0.4070484,NID2019,3.7338,3.7338,NID2019,NID2019,4.141556685882,4.141556685882,2.070778342941,2.070778342941,12.7432513411754,12.7432513411754,6.37162567058769,6.37162567058769,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"431",CT00192,SCOTLAND,41.6649,-72.1226,Run-of-River,2,2.21,HydroLAKES,1.603524,NID2019,7.89432,7.89432,NID2019,NID2019,47.54156862,34.495043565528,23.77078431,17.247521782764,23.77078431,17.247521782764,11.885392155,8.623760891382,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"432",CT00204,TAFTVILLE HYDRO DAM,41.57254,-72.04566,Conventional storage dam,1.6,2.11171776,NID2019,1.3,HydroLAKES,6.4008,6.4008,NID2019,NID2019,36.8329612791168,22.674834,18.4164806395584,11.337417,23.020600799448,14.17177125,11.510300399724,7.085885625,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"433",CT00206,GREENVILLE,41.5388,-72.05141,Run-of-River,2.2,0.46008804,NID2019,0.46008804,NID2019,3.2004,3.2004,NID2019,NID2019,4.0124692047636,4.0124692047636,2.0062346023818,2.0062346023818,1.82384963852891,1.82384963852891,0.911924819264454,0.911924819264454,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"434",CT00232,SHEPAUG,41.4479,-73.2964,Conventional storage dam,37.2,82.273116,NID2019,82.273116,NID2019,29.44368,29.44368,NID2019,NID2019,6601.10349279125,6601.10349279125,3300.55174639562,3300.55174639562,177.449018623421,177.449018623421,88.7245093117103,88.7245093117103,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"435",CT00234,CONGDON,41.4437,-72.1211,Run-of-River,0.045,0.1603524,NID2019,0.1603524,NID2019,7.04088,7.04088,NID2019,NID2019,3.0765849666552,3.0765849666552,1.5382924833276,1.5382924833276,68.36855481456,68.36855481456,34.18427740728,34.18427740728,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"436",CT00310,SANDY HOOK,41.4326,-73.2769,Conventional storage dam,0.11,0.0740088,NID2019,0.0740088,NID2019,7.4676,7.4676,NID2019,NID2019,1.506020613048,1.506020613048,0.753010306524,0.753010306524,13.6910964822545,13.6910964822545,6.84554824112727,6.84554824112727,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"437",CT00503,MANSFIELD HOLLOW DAM,41.75568,-72.18142,Run-of-River,0.5,9.76,HydroLAKES,3.453744,NID2019,16.64208,16.64208,NID2019,NID2019,442.61275968,156.626143756992,221.30637984,78.313071878496,885.22551936,313.252287513984,442.61275968,156.626143756992,32.175,1.267,4.326,4.17,3.608,4.718,17.202,7.012,8.87,8.823,8.518,9.106,USACE,1997-2015,1508.203,24.206,104.555,100.263,83.744,117.074,3016.406,48.412,209.11,200.526,167.488,234.148
"438",CT00513,QUINEBAUG,41.8014,-71.8878,Run-of-River,2.5,0.34907484,NID2019,0.34907484,NID2019,2.98704,2.98704,NID2019,NID2019,2.84135888995056,2.84135888995056,1.42067944497528,1.42067944497528,1.13654355598022,1.13654355598022,0.568271777990112,0.568271777990112,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"439",CT00514,FALLS VILLAGE,41.963,-73.3721,Run-of-River,9,1.3999998,NID2019,1.3999998,NID2019,3.1299912,3.1299912,NID2019,NID2019,11.9409147221548,11.9409147221548,5.9704573610774,5.9704573610774,1.32676830246164,1.32676830246164,0.663384151230822,0.663384151230822,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"440",CT00539,WYRE - WYND,41.6098,-71.9856,Conventional storage dam,2.78,3.577092,NID2019,3.49,HydroLAKES,2.98704,2.98704,NID2019,NID2019,29.116398518928,28.40749716,14.558199259464,14.20374858,10.4735246470964,10.2185241582734,5.2367623235482,5.10926207913669,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
