plant,NERC,EHA_ID,EIA_ID,NID_ID,lat,lon,state,county,HUC,bal_auth,mode,n_units,CH_MW,CH_MWh
Squa Pan Hydro Station,NPCC,hc1428_p01,1516,ME00234,46.5563,-68.3257,ME,Aroostook,10100040901,NBSO,Peaking,1,1.5,881.4
Caribou Generation Station,NPCC,hc1427_p01,1513,ME00227,46.8488,-68.0022,ME,Aroostook,10100041009,NBSO,Run-of-river,2,0.8,3765.37
McKay,NPCC,hc1497_p01,54134,ME00204,45.8815,-69.1767,ME,Piscataquis,10200010509,ISNE,Peaking,3,37.6,197413.5164
North Twin,NPCC,hc1495_p01,54134,ME00203,45.6346,-68.7813,ME,Penobscot,10200010905,ISNE,Peaking,3,9.6,50403.451
Millinocket,NPCC,hc1494_p01,54134,ME00202,45.6374,-68.73,ME,Penobscot,10200010907,ISNE,Run-of-river/Upstream Peaking,8,41.1,215789.7746
East Millinocket,NPCC,hc1492_p01,54134,ME00200,45.6209,-68.5764,ME,Penobscot,10200011007,ISNE,Run-of-river/Upstream Peaking,6,9.6,50403.451
Dolby,NPCC,hc1493_p01,54134,ME00201,45.6325,-68.6075,ME,Penobscot,10200011007,ISNE,Run-of-river/Upstream Peaking,7,20.9,109732.5131
Medway,NPCC,hc1643_p01,55288,ME00199,45.6074,-68.5459,ME,Penobscot,10200011007,ISNE,Run-of-river,5,4,28013.29
Corriveau,NPCC,hc7504_p01,NA,ME00169,45.1116312,-69.4487106,ME,Oxford,10200040201,NA,Run-of-river,3,0.35,NA
Moosehead,NPCC,hc7145_p01,NA,ME00157,45.1836,-69.2304,ME,Piscataquis,10200040203,NA,NA,1,0.3,NA
Brown's Mill,NPCC,hc7126_p01,NA,ME00156,45.1835,-69.2194,ME,Piscataquis,10200040205,NA,NA,2,0.594,2500
Sebec,NPCC,hc7251_p01,NA,ME00163,45.2702,-69.116,ME,Piscataquis,10200040311,NA,NA,2,0.867,2160
Milo,NPCC,hc7131_p01,NA,ME00162,45.2511,-68.9883,ME,Piscataquis,10200040312,NA,NA,3,0.695,NA
Mattaceunk (Weldon),NPCC,hc1496_p01,54134,ME00143,45.5703,-68.4095,ME,Penobscot,10200050104,ISNE,Run-of-river,4,19.2,100806.902
West Enfield,NPCC,hc1605_p01,10255,NA,45.2501,-68.6495,ME,Penobscot,10200050208,ISNE,Run-of-river,2,13,103069.24
Lowell Tannery,NPCC,hc1839_p01,50699,ME83014,45.1866,-68.4652,ME,Penobscot,10200050311,ISNE,Run-of-river,1,1,4620.41
Orono,NPCC,hc1667_p01,57184,ME00138,44.8835,-68.6652,ME,Penobscot,10200050510,ISNE,Run-of-river,4,2.7,12749.5
Orono B,NPCC,hc1667_p02,59438,ME00138,44.884444,-68.663889,ME,Penobscot,10200050510,ISNE,NA,3,3.9,26557
Stillwater Hydro Station,NPCC,hc1669_p01,1478,ME00139,44.9111,-68.6841,ME,Penobscot,10200050510,ISNE,Run-of-river,4,1.8,11271.29
Stillwater B,NPCC,hc1669_p02,59437,ME00139,44.912667,-68.683833,ME,Penobscot,10200050510,ISNE,NA,3,2.4,12378.4
PPL Milford Hydro Station,NPCC,hc1547_p01,1475,ME00141,44.9409,-68.6477,ME,Penobscot,10200050603,ISNE,Run-of-river,6,7.8,48229.29
Foss Mill,NPCC,hc7305_p01,NA,ME83023,44.5316,-69.1455,ME,Waldo,10200050901,NA,NA,1,0.015,NA
Veazie Energy Recovery Hydro Plant,NPCC,hc7513_p01,NA,"NA",44.823856,-68.708925,ME,Penobscot,10200051003,NA,Canal/Conduit,1,0.075,590
Brassua Hydroelectric Project,NPCC,hc1613_p01,10555,ME00133,45.6601,-69.8134,ME,Somerset,10300010404,ISNE,NA,1,3.6,18467.05
Indian Pond,NPCC,hc1254_p01,1492,ME00090,45.4603,-69.8662,ME,Somerset,10300010610,ISNE,Peaking,4,76.4,229225.29
Eustis,NPCC,hc7453_p01,NA,ME00129,45.2176,-70.4761,ME,Franklin,10300020106,NA,Run-of-river,1,0.25,1501
Wyman Hydro,NPCC,hc1393_p01,1511,ME00089,45.0697,-69.9068,ME,Somerset,10300030106,ISNE,Peaking,3,72,389319.59
Williams,NPCC,hc1402_p01,1510,ME00088,44.9592,-69.8705,ME,Somerset,10300030301,ISNE,Reregulating,2,13,92015.65
Gilman Stream,NPCC,hc7267_p01,NA,ME00320,44.9239,-70.0244,ME,Somerset,10300030703,NA,NA,1,0.12,672
Starks,NPCC,hc7351_p01,NA,"NA",44.7305,-69.9625,ME,Somerset,10300031204,NA,NA,2,0.035,100
Abenaki,NPCC,hc1425_p01,10186,ME00086,44.7921,-69.8867,ME,Somerset,10300031301,ISNE,Run-of-river,8,20,96766.79113
Anson,NPCC,hc1426_p01,10186,ME00087,44.7984,-69.889,ME,Somerset,10300031301,ISNE,Run-of-river,5,9,43545.05601
Weston,NPCC,hc1392_p01,1509,ME00085,44.7636,-69.7185,ME,Somerset,10300031302,ISNE,Run-of-river,4,12,80517.35
Shawmut,NPCC,hc1384_p01,1504,ME00084,44.6309,-69.5835,ME,Kennebec,10300031507,ISNE,NA,8,8.8,49191.88
Lockwood - Old,NPCC,hc1583_p01,10066,ME00082,44.5484,-69.6269,ME,Kennebec,10300031507,ISNE,Run-of-river,6,4.8,22095.949
Lockwood - New,NPCC,hc1583_p02,10066,ME00082,44.5484,-69.6269,ME,Kennebec,10300031507,ISNE,Run-of-river,1,2.4,11047.9745
Hydro Kennebec Project,NPCC,hc1612_p01,54148,ME00083,44.5639,-69.6207,ME,Kennebec,10300031507,ISNE,Run-of-river,2,15.4,81184.12
Waverly Avenue,NPCC,hc7071_p01,NA,ME00111,44.7947,-69.3869,ME,Somerset,10300031702,NA,NA,1,0.4,NA
Pioneer,NPCC,hc7350_p01,NA,ME00110,44.786,-69.38,ME,Somerset,10300031702,NA,NA,2,0.3,1100
Burnham,NPCC,hc2141_p01,54124,ME00109,44.721,-69.412,ME,"Somerset, Waldo",10300031904,ISNE,Run-of-river/Peaking,3,1.1,4509.34
Freedom Falls,NPCC,hc7579_p01,NA,"NA",44.527828,-69.297638,ME,Waldo,10300032004,NA,Run-of-river,1,0.05,66
Benton Falls,NPCC,hc1881_p01,10523,ME96126,44.5819,-69.5532,ME,Kennebec,10300032106,ISNE,Run-of-river,2,4.2,17440.65
Automatic,NPCC,hc1566_p01,1499,ME00103,44.5473,-69.6436,ME,Kennebec,10300032205,NA,Run-of-river/Upstream Peaking,1,0.8,NA
Union Gas,NPCC,hc1567_p01,1500,ME00102,44.5342,-69.6527,ME,Kennebec,10300032205,ISNE,Reregulating,1,1.8,5403.65
Rice Rips,NPCC,hc1568_p01,1498,ME00104,44.5647,-69.6876,ME,Kennebec,10300032205,ISNE,Run-of-river/Upstream Peaking,1,1.6,4560.64
Oakland,NPCC,hc1569_p01,1497,ME00105,44.5475,-69.7116,ME,Kennebec,10300032205,ISNE,Run-of-river/Upstream Peaking,1,2.8,10570.01
American Tissue,NPCC,hc1710_p01,50688,ME00094,44.2257,-69.7847,ME,Kennebec,10300032309,ISNE,Run-of-river,1,1,5405.77
Mahaney,NPCC,hc7079_p01,NA,ME00028,45.1027,-70.7779,ME,Franklin,10400010104,NA,NA,1,0.2,NA
Kennebago Falls,NPCC,hc7080_p01,NA,ME00028,45.101,-70.7786,ME,Franklin,10400010104,NA,NA,1,0.7,NA
Aziscohos Hydroelectric Project,NPCC,hc1830_p01,50999,ME00024,44.9441,-70.9976,ME,Oxford,10400010306,ISNE,NA,1,6.7,29756.48
Errol Hydroelectric Project,NPCC,hc1788_p01,10570,NH00161,44.7866,-71.1249,NH,Coos,10400010602,ISNE,NA,1,3,16710.24
Pontook Hydro Facility,NPCC,hc1727_p01,50741,NH00601,44.6331,-71.2484,NH,Coos,10400010604,ISNE,NA,3,10.5,61842.71
Sawmill,NPCC,hc1359_p01,54639,NH00089,44.4790418,-71.16800173,NH,Coos,10400010606,ISNE,Run-of-river,4,3.1,14126.20701
Riverside,NPCC,hc1360_p01,54639,NH00158,44.4745,-71.17,NH,Coos,10400010606,ISNE,Run-of-river,2,7.9,35999.04367
Smith,NPCC,hc1350_p01,2368,NH00157,44.4693,-71.1784,NH,Coos,10400010607,ISNE,NA,1,15,102973.76
Cross Power,NPCC,hc1357_p01,54639,NH00088,44.45694546,-71.18606213,NH,Coos,10400010607,ISNE,Run-of-river,5,3,13670.52291
Cascade,NPCC,hc1358_p01,54639,NH00163,44.44912733,-71.18671687,NH,Coos,10400010607,ISNE,Run-of-river,3,7.9,35999.04367
Ammonoosuc Water Treatment Plant,NPCC,hc9049_p01,NA,"NA",44.49,-71.220135,NH,Coos,10400010607,NA,Canal/Conduit,1,0.021,85
Gorham,NPCC,hc1356_p01,54639,NH00191,44.4082,-71.1952,NH,Coos,10400020101,ISNE,Run-of-river,4,4.8,21872.83666
Gorham,NPCC,hc1351_p01,2358,NH00022,44.3894,-71.1674,NH,Coos,10400020102,ISNE,NA,4,2.2,11580.82
Shelburne,NPCC,hc1355_p01,54639,NH00052,44.40414953,-71.11567767,NH,Coos,10400020103,ISNE,Run-of-river,3,3.6,16404.6275
Wight Brook,NPCC,hc7277_p01,NA,"NA",44.5777,-70.8644,ME,Oxford,10400020206,NA,NA,1,0.03,197.1
Stony Brook,NPCC,hc7332_p01,NA,ME83024,44.5134,-70.7692,ME,Oxford,10400020207,NA,NA,1,0.035,NA
Abbott's Mill,NPCC,hc7335_p01,NA,"NA",44.4752,-70.6297,ME,Oxford,10400020401,NA,NA,2,0.09,NA
Rumford Falls Power,NPCC,hc1400_p01,10493,ME00012,44.5426,-70.5465,ME,Oxford,10400020406,ISNE,Run-of-river,6,44.5,274600.62
Upper Spears Hydro Station,NPCC,hc7368_p01,NA,"NA",44.4722,-70.5009,ME,Oxford,10400020503,NA,NA,2,0.065,NA
Livermore Falls,NPCC,hc1430_p01,50082,ME00008,44.4712,-70.1907,ME,Androscoggin,10400020602,ISNE,Run-of-river,9,9.2,36882.82
Jay,NPCC,hc1431_p01,50047,ME00010,44.5024,-70.2223,ME,Franklin,10400020602,ISNE,Run-of-river,6,3.1,12520.9
Riley,NPCC,hc1432_p01,50081,ME00011,44.5028,-70.2499,ME,Franklin,10400020602,ISNE,Run-of-river,6,6.6,26577.29
Otis Hydro,NPCC,hc2019_p01,50080,ME00009,44.4786,-70.2011,ME,Franklin,10400020602,ISNE,Run-of-river,2,10.2,55730.94
Deer Rips,NPCC,hc1347_p01,1488,ME00006,44.1362,-70.2023,ME,Androscoggin,10400020803,ISNE,Intermediate Peaking,7,6.5,27666
Androscoggin 3,NPCC,hc1347_p02,1480,ME00006,44.1362,-70.2023,ME,Androscoggin,10400020803,ISNE,Run-of-river,1,3.6,15843.76
Gulf Island,NPCC,hc1348_p01,1491,ME00007,44.1532,-70.2107,ME,Androscoggin,10400020803,ISNE,Run-of-river,3,19.2,153754.06
Charles E Monty,NPCC,hc1362_p01,805,ME00005,44.1013,-70.2229,ME,Androscoggin,10400020803,ISNE,NA,2,28.4,141846.35
Androscog Mill Lower,NPCC,hc1362_p04,7047,ME00005,44.0858,-70.2129,ME,Androscoggin,10400020803,NA,NA,1,0.25,NA
Upper Androscoggin,NPCC,hc1362_p06,54202,ME00005,44.0876,-70.2122,ME,Androscoggin,10400020803,ISNE,NA,3,1.6,2803.9222
Biscoe Falls,NPCC,hc7378_p01,NA,ME00295,44.285,-70.5371,ME,Oxford,10400020904,NA,NA,1,0.093,219
Mechanic Falls,NPCC,hc2144_p01,54123,ME00379,44.1111,-70.3917,ME,Androscoggin,10400020908,ISNE,Run-of-river,2,1.4,2742.07
Barker Lower,NPCC,hc1709_p01,10728,ME00551,44.0867,-70.2298,ME,Androscoggin,10400020910,ISNE,Run-of-river,1,1.5,5042.01
Barker Mill Upper,NPCC,hc1815_p01,52171,ME83013,44.0786,-70.2354,ME,Androscoggin,10400020910,ISNE,Run-of-river,1,1,5551.15
Hackett Mills,NPCC,hc7170_p01,NA,ME00429,44.0884,-70.3337,ME,Androscoggin,10400020910,NA,Run-of-river,1,0.485,2150
Worumbo Hydro Station,NPCC,hc1803_p01,50278,ME00004,43.9939,-70.0636,ME,Androscoggin,10400021005,ISNE,Run-of-river,2,19.4,92090.53
Brunswick,NPCC,hc1349_p01,1483,ME00001,43.9206,-69.968,ME,Cumberland,10400021007,ISNE,NA,3,19.6,98269.06
Pejepscot Hydroelectric Project,NPCC,hc1871_p01,50758,ME00003,43.9568,-70.0256,ME,Cumberland,10400021007,ISNE,Run-of-river,4,13.5,71041.59
WoodlandMill,NPCC,hc4120_p01,10613,ME00218,45.15805,-67.40166,ME,Washington,10500010802,NBSO,NA,10,18.5,94831.58
Green Lake,NPCC,hc7244_p01,NA,ME00266,44.6259,-68.4451,ME,Hancock,10500021214,NA,NA,2,0.5,1100
PPL Ellsworth Hydro Station,NPCC,hc1684_p01,1469,ME00263,44.5444,-68.43,ME,Hancock,10500021302,ISNE,Peaking,4,8.9,31663
Mason,NPCC,hc7014_p01,NA,ME00286,44.457,-69.0068,ME,Waldo,10500021802,NA,NA,2,0.09,NA
Mill,NPCC,hc7015_p01,NA,ME00285,44.4438,-68.9996,ME,Waldo,10500021802,NA,NA,1,0.094,NA
CMP,NPCC,hc7016_p01,NA,ME00594,44.4403,-68.9975,ME,Waldo,10500021802,NA,NA,1,0.2,NA
Seabright,NPCC,hc7341_p01,NA,ME00277,44.2235,-69.08,ME,Knox,10500021904,NA,NA,2,0.094,288
Damariscotta Mills,NPCC,hc7473_p01,NA,ME00238,44.0617,-69.5278,ME,Lincoln,10500030302,NA,Peaking,1,0.46,1250
Old Sparhawk Mill,NPCC,hc7330_p01,NA,ME00187,43.8015,-70.1828,ME,Cumberland,10600010206,NA,NA,3,0.27,1000
North Gorham,NPCC,hc1535_p01,1501,ME00069,43.8023,-70.4506,ME,Cumberland,10600010304,ISNE,Run-of-river,2,2.2,10272.94
Saccarappa,NPCC,hc1738_p01,50447,"NA",43.6778,-70.3705,ME,Cumberland,10600010304,ISNE,Run-of-river,3,1.8,7424.785394
Gambo,NPCC,hc1748_p01,50447,ME00067,43.747,-70.4392,ME,Cumberland,10600010304,ISNE,Run-of-river,2,1.6,6599.809239
Mallison Falls,NPCC,hc1749_p01,50447,ME00325,43.7271,-70.4199,ME,Cumberland,10600010304,ISNE,Run-of-river,2,1.4,5774.833084
Little Falls,NPCC,hc1753_p01,50447,"NA",43.734,-70.4249,ME,Cumberland,10600010304,ISNE,Run-of-river,4,1.2,4949.856929
Dundee,NPCC,hc1754_p01,50447,ME00068,43.7801062,-70.45317493,ME,Cumberland,10600010304,ISNE,Run-of-river,3,1.2,4949.856929
Goodrich Falls,NPCC,hc2157_p01,9858,NH00580,44.1262,-71.1906,NH,Carroll,10600020105,NA,Run-of-river,1,1,2000
Swans Falls,NPCC,hc7465_p01,NA,ME00038,44.038,-70.984,ME,Oxford,10600020304,NA,NA,2,0.82,4000
Hiram,NPCC,hc1543_p01,1493,ME00037,43.8525,-70.7976,ME,Oxford,10600020504,ISNE,NA,2,10.5,53664.94
Lower Kezar Falls,NPCC,hc2065_p01,7669,"NA",43.8098,-70.8834,ME,York,10600020904,NA,Run-of-river,2,0.77,3926.175
Upper Kezar Falls,NPCC,hc2066_p01,7668,ME00045,43.8069,-70.8889,ME,York,10600020904,NA,Run-of-river,1,0.35,1784.625
Ledgemere,NPCC,hc2037_p01,7667,ME00039,43.6649,-70.7231,ME,York,10600021006,NA,NA,1,0.2,973.3333333
Bonny Eagle,NPCC,hc1542_p01,1482,ME00036,43.6878,-70.6123,ME,York,10600021102,ISNE,Run-of-river/Peaking,6,7.2,53856.18
West Buxton,NPCC,hc1544_p01,1508,ME00035,43.6665,-70.6037,ME,York,10600021102,ISNE,Run-of-river,6,7.7,24705.59
Bar Mills,NPCC,hc1295_p01,1481,ME00034,43.6131,-70.5537,ME,York,10600021103,ISNE,Intermediate Peaking,2,4,15989.41
Skelton,NPCC,hc1540_p01,1505,ME00033,43.5709,-70.5585,ME,York,10600021103,ISNE,Run-of-river/Peaking,2,16.8,102204.59
Cataract,NPCC,hc1541_p01,1486,ME00030,43.4957,-70.4468,ME,York,10600021105,ISNE,NA,1,6.6,31652.41
Days Mill,NPCC,hc7207_p01,NA,"NA",43.4575,-70.6066,ME,York,10600030101,NA,NA,1,0.03,NA
Kesslen,NPCC,hc1894_p01,7401,ME83017,43.3839,-70.5423,ME,York,10600030205,NA,Run-of-river,1,0.15,800
Twine Mill,NPCC,hc1895_p01,7402,ME83018,43.4021,-70.576,ME,York,10600030205,NA,Run-of-river,1,0.3,1600
Dane Perkins,NPCC,hc1896_p01,7403,ME83019,43.4032,-70.5856,ME,York,10600030205,NA,Run-of-river,1,0.15,800
Rocky Gorge Upper,NPCC,hc7042_p01,NA,ME00391,43.2193,-70.7979,ME,York,10600030402,NA,NA,3,0.55,2000
Somersworth,NPCC,hc1825_p01,10059,NH00127,43.2648,-70.8637,NH,Strafford,10600030506,ISNE,Peaking,2,2.1,4390.842231
Milton Hydro,NPCC,hc1828_p01,10519,NH83049,43.403,-70.9866,NH,Strafford,10600030506,ISNE,NA,4,1.4,6278.5
North Rochester,NPCC,hc7059_p01,NA,NH00390,43.3784,-70.9842,NH,Strafford,10600030506,NA,NA,1,0.3,NA
Boston Felt,NPCC,hc7084_p01,NA,NH00443,43.3369,-70.9343,NH,Strafford,10600030506,NA,Canal/Conduit,1,0.189,750
Rollinsford,NPCC,hc1823_p01,54418,NH00396,43.2378,-70.8182,NH,Strafford,10600030507,ISNE,Run-of-river,2,1.4,5627.57
Lower Great Falls,NPCC,hc1852_p01,50704,NH00126,43.2544,-70.8448,NH,Strafford,10600030507,ISNE,Run-of-river,1,1.3,3596.98
Salmon Falls,NPCC,hc2129_p01,50702,NH00395,43.2266,-70.8118,NH,Strafford,10600030507,ISNE,Run-of-river,3,1.2,3333.23
Hatfields,NPCC,hc7122_p01,NA,NH83018,43.3354,-70.9409,NH,Strafford,10600030603,NA,NA,1,0.184,1500
Cocheco Falls,NPCC,hc7093_p01,NA,NH00547,43.1964,-70.8738,NH,Strafford,10600030608,NA,Run-of-river,3,0.714,3400
Watson,NPCC,hc7163_p01,NA,NH00549,43.2136,-70.9227,NH,Strafford,10600030608,NA,NA,1,0.265,802.5
Zealand Falls Hydroelectric Project,NPCC,hc7607_p01,NA,"NA",44.195,-71.4916667,NH,Grafton,10700010101,NA,Run-of-river,1,2.5e-4,1.01
Campton Hydro Station,NPCC,hc7032_p01,NA,NH00130,43.8622,-71.6325,NH,Grafton,10700010401,NA,Run-of-river,3,0.639,1503.328
Squam Lake Dam,NPCC,hc1891_p01,7395,NH00059,43.7055,-71.6298,NH,Grafton,10700010502,NA,NA,2,0.08,NA
Ashland Paper Mill,NPCC,hc7128_p01,NA,NH00060,43.6926,-71.6377,NH,Grafton,10700010502,NA,Canal/Conduit,1,0.105,630
Ayers Island,NPCC,hc1490_p01,2355,NH00160,43.5977,-71.7181,NH,Grafton,10700010801,ISNE,Peaking,3,8.4,44996.94
Newfound Hydroelectric,NPCC,hc1782_p01,50324,"NA",43.5905,-71.733,NH,Grafton,10700010801,ISNE,NA,2,1.4,4751.35
Giles Pond,NPCC,hc7250_p01,NA,NH00177,43.4952,-71.6444,NH,Merrimack,10700010802,NA,NA,3,0.375,NA
Eastman Falls,NPCC,hc1491_p01,2356,NH00164,43.4471,-71.6584,NH,Merrimack,10700010804,ISNE,Run-of-river,2,6.4,26645.41
Lakeport,NPCC,hc7174_p01,NA,NH00216,43.5486,-71.4655,NH,Belknap,10700020110,NA,Run-of-river,3,0.705,2000
Avery,NPCC,hc7209_p01,NA,NH00465,43.5345,-71.4681,NH,Belknap,10700020110,NA,Run-of-river,2,0.435,950
Lochmere Hydroelectric Plant,NPCC,hc1787_p01,54572,NH00015,43.4731,-71.534,NH,Belknap,10700020201,ISNE,NA,5,1.2,3745.79
Clement Dam Hydro LLC,NPCC,hc1762_p01,10276,NH00882,43.4407,-71.5958,NH,Belknap,10700020202,ISNE,NA,1,2.4,9848.39
Steven Mills,NPCC,hc1821_p01,10109,NH83010,43.4463,-71.6476,NH,Merrimack,10700020202,ISNE,NA,3,1.9,6010.24
Franklin Falls,NPCC,hc7227_p01,NA,NH83025,43.4428,-71.6498,NH,Merrimack,10700020202,NA,NA,3,0.68,NA
Stevens Mills Hydroelectric Project,NPCC,hc9128_p01,58712,NH83010,43.446111,-71.644444,NH,Merrimack,10700020202,NA,NA,2,2.1,174.4
Cheshire,NPCC,hc7383_p01,NA,NH00071,42.817,-72.0087,NH,Cheshire,10700030101,NA,Run-of-river,1,0.1,482
Verney Mill Hydro Station,NPCC,hc0354_p01,NA,NH00825,42.8868,-71.9864,NH,Hillsborough,10700030103,NA,NA,1,0.363,NA
Elm Street,NPCC,hc7067_p01,NA,"NA",42.8788,-71.9543,NH,Hillsborough,10700030103,NA,Run-of-river,1,0.012,60.32142857
Bell Mill,NPCC,hc7068_p01,NA,"NA",42.8785,-71.9539,NH,Hillsborough,10700030103,NA,Run-of-river,1,0.1,502.6785714
Union Street,NPCC,hc7263_p01,NA,NH83031,42.8872,-71.9839,NH,Hillsborough,10700030103,NA,NA,1,0.26,NA
Noone Mills,NPCC,hc7074_p01,NA,NH00427,42.8596,-71.9614,NH,Hillsborough,10700030104,NA,NA,2,0.15,NA
Monadnock,NPCC,hc7191_p01,NA,NH00249,42.9998,-71.9266,NH,Hillsborough,10700030108,NA,NA,2,0.425,NA
Pierce Mill,NPCC,hc7192_p01,NA,NH00250,43.0023,-71.9258,NH,Hillsborough,10700030108,NA,NA,2,0.77,NA
Paper Mill,NPCC,hc7193_p01,NA,NH00251,43.0057,-71.9276,NH,Hillsborough,10700030108,NA,NA,1,0.75,NA
Jackman,NPCC,hc4045_p01,2360,NH00199,43.11086093,-71.94868393,NH,Hillsborough,10700030204,ISNE,NA,1,3.2,9919.71
Steels Pond,NPCC,hc7033_p01,NA,NH00037,43.0804,-71.9681,NH,Hillsborough,10700030204,NA,NA,5,0.975,3040
Hosiery Mill,NPCC,hc1936_p01,10036,"NA",43.1133,-71.8944,NH,Hillsborough,10700030301,ISNE,NA,2,1.2,1993.26
Forster's Mill,NPCC,hc7248_p01,NA,"NA",43.3355,-71.9529,NH,Merrimack,10700030403,NA,Run-of-river,1,0.112,350
Hoague - Sprague,NPCC,hc0352_p01,NA,NH00004,43.1887,-71.7476,NH,Merrimack,10700030601,NA,NA,2,1.268,NA
Hopkinton,NPCC,hc0378_p01,54384,NH00204,43.2223,-71.716,NH,Merrimack,10700030601,ISNE,NA,2,1,2972.7
Rolfe Canal Hydro,NPCC,hc1798_p01,50351,NH00944,43.2725,-71.6045,NH,Merrimack,10700030603,ISNE,Run-of-river,1,4.3,22188.82
Penacook Lower Falls,NPCC,hc1801_p01,50353,NH00374,43.2852,-71.5952,NH,Merrimack,10700030603,ISNE,Run-of-river,1,4.6,21498.5
Penacook Upper Falls Hydro,NPCC,hc1966_p01,50414,NH00352,43.2836,-71.6022,NH,Merrimack,10700030603,ISNE,Run-of-river,1,3.4,15380.84
Oakdale Power Station,NPCC,hc2104_p01,10824,"NA",42.387,-71.8031,MA,Worcester,10700040201,ISNE,Canal/Conduit,1,3.5,10485.24
Cosgrove Intake and Power Station,NPCC,hc2103_p01,10825,MA00886,42.3985,-71.6897,MA,Worcester,10700040203,ISNE,Canal/Conduit,2,3.2,3444.12
Ice House,NPCC,hc7508_p01,NA,MA00809,42.5528,-71.6189,MA,Middlesex,10700040205,NA,Run-of-river,2,0.28,NA
Mine Falls Generating Station,NPCC,hc1805_p01,10183,NH00116,42.7503,-71.5055,NH,Hillsborough,10700040402,ISNE,Run-of-river,2,3,10822.91
Pepperell Hydro Power Plant,NPCC,hc2177_p01,10694,MA00373,42.6651978,-71.5757778,MA,Middlesex,10700040402,ISNE,Run-of-river,3,2.2,5032.25
Jackson Mills,NPCC,hc7276_p01,NA,NH00121,42.7635,-71.4645,NH,Hillsborough,10700040402,NA,NA,1,1,4000
Aqueduct Transfer Hydro Station,NPCC,hc7405_p01,NA,MA00741,42.307,-71.4894,MA,Worcester,10700050102,NA,Canal/Conduit,1,0.75,5400
Assabet,NPCC,hc7242_p01,NA,MA00128,42.4407,-71.4316,MA,Middlesex,10700050204,NA,NA,1,0.178,797
Centennial Island,NPCC,hc7021_p01,NA,"NA",42.6293,-71.2984,MA,Middlesex,10700050206,NA,NA,1,0.64,NA
Garvins Falls,NPCC,hc1134_p01,2357,NH00090,43.1655,-71.51,NH,Merrimack,10700060302,ISNE,Run-of-river,4,12.4,42931.18
Pembroke Hydro,NPCC,hc1792_p01,50312,NH00378,43.1292,-71.4508,NH,Merrimack,10700060503,ISNE,NA,1,2.7,9619.19
China Mill Hydro,NPCC,hc4124_p01,50103,NH00023,43.1300874,-71.45608053,NH,MERRIMACK,10700060503,ISNE,NA,1,1.7,3192.29
Gregg Falls,NPCC,hc1790_p01,50384,NH00093,43.0169,-71.5686,NH,Hillsborough,10700060607,ISNE,NA,2,3.5,10529.77
Kelley's Falls,NPCC,hc7025_p01,NA,NH00299,42.9935,-71.4962,NH,Hillsborough,10700060607,NA,Run-of-river,1,0.45,2400
Hadley Falls,NPCC,hc7118_p01,NA,NH00020,43.0185,-71.5979,NH,Hillsborough,10700060607,NA,NA,2,0.25,NA
Amoskeag,NPCC,hc1132_p01,2354,NH00102,43.0021,-71.4719,NH,Hillsborough,10700060802,ISNE,Run-of-river,3,16,88359.41
Hooksett,NPCC,hc1133_p01,2359,NH00239,43.1014,-71.4666,NH,Merrimack,10700060802,ISNE,Run-of-river,1,1.6,7819.47
Waterloom Falls,NPCC,hc7300_p01,NA,NH00355,42.7497,-71.8367,NH,Hillsborough,10700060901,NA,NA,1,0.15,NA
Otis Falls,NPCC,hc7301_p01,NA,NH00041,42.767,-71.8125,NH,Hillsborough,10700060902,NA,NA,1,0.2,360
Chamberlain Falls,NPCC,hc7302_p01,NA,"NA",42.7688,-71.8109,NH,Hillsborough,10700060902,NA,NA,1,0.13,380
Pine Valley,NPCC,hc7374_p01,NA,NH00258,42.8389,-71.7289,NH,Hillsborough,10700060904,NA,Run-of-river,2,0.525,2473
Methuen Falls,NPCC,hc7316_p01,NA,MA00178,42.727,-71.1889,MA,Essex,10700061102,NA,Run-of-river,2,0.357,1600
Boott Hydropower,NPCC,hc1706_p01,10556,MA00837,42.6481,-71.3087,MA,Middlesex,10700061206,ISNE,NA,3,22.9,85859.61
Swamp Locks,NPCC,hc1706_p02,NA,MA00837,42.6419,-71.316,MA,Middlesex,10700061206,NA,NA,8,1.975,NA
Lower Pawtucket Locks,NPCC,hc1706_p03,NA,MA00837,42.6442,-71.3076,MA,Middlesex,10700061206,NA,NA,11,5.94,NA
Lawrence Hydroelectric Associates,NPCC,hc1708_p01,50545,MA00234,42.7006,-71.1665,MA,Essex,10700061207,ISNE,Run-of-river,2,14.8,67830.53
Canaan,NPCC,hc2005_p01,3750,NH00129,44.9992,-71.5308,NH,Coos,10801010305,ISNE,Run-of-river,1,1.1,6730.82
Weston,NPCC,hc7293_p01,NA,NH00369,44.5929,-71.5155,NH,Coos,10801010707,NA,Run-of-river,2,0.54,1725
Brooklyn Dam Hydroelectric Project,NPCC,hc7608_p01,NA,NH00148,44.6,-71.5055,NH,Coos,10801010707,NA,Run-of-river,2,0.6,2800
Garland Mill,NPCC,hc7223_p01,NA,"NA",44.4729,-71.4799,NH,Coos,10801010804,NA,NA,1,0.022,NA
Marden Brook,NPCC,hc7266_p01,NA,"NA",44.457,-71.4921,NH,Coos,10801010804,NA,NA,1,0.0055,15
Pierce Mills,NPCC,hc1442_p01,3721,VT00250,44.486,-72.0087,VT,Caledonia,10801020302,NA,Run-of-river,1,0.25,NA
