plant,NERC,EHA_ID,EIA_ID,NID_ID,lat,lon,state,county,HUC,bal_auth,mode,n_units,CH_MW,CH_MWh
Riverview,SERC,hc1408_p01,721,GA00868,32.7929,-85.1433,GA,Harris,31300020908,NA,Run-of-river,2,0.48,721
Bartletts Ferry,SERC,hc1049_p01,702,GA00830,32.663,-85.0908,GA,Lee,31300021302,SOCO,Peaking,6,173,363177.82
Oliver,SERC,hc1279_p01,720,GA00837,32.5155,-85.0004,GA,Muscogee,31300021306,SOCO,Run-of-river/Upstream Peaking,4,60,178738.06
Goat Rock,SERC,hc1280_p01,707,GA00826,32.6096,-85.0795,GA,Lee,31300021306,SOCO,Run-of-river/Upstream Peaking,6,38.6,135443.94
North Highlands,SERC,hc1278_p01,719,GA00853,32.5,-85,GA,Muscogee,31300030104,SOCO,Run-of-river/Upstream Peaking,4,29.6,105964.29
Walter F George,SERC,hc0271_p01,761,AL01432,31.62578648,-85.06389871,GA,Murray,31300031600,SOCO,Peaking,4,168,348714.12
J Woodruff,SERC,hc0241_p01,690,FL00435,30.70844949,-84.86547164,FL,Gadsden,31300040806,FPL,Peaking,3,43.5,193863.65
Dalesmoore Plantation,SERC,hc7249_p01,NA,GA01109,33.0789,-84.6142,GA,Meriwether,31300050505,NA,NA,1,0.096,NA
Lake Blackshear,SERC,hc1064_p01,752,GA00706,31.8368,-83.9346,GA,Worth,31300060704,SOCO,Run-of-river/Peaking,4,17.2,39560.88
Flint River,SERC,hc1088_p01,706,GA00835,31.6026,-84.137,GA,Dougherty,31300060905,SOCO,Run-of-river,3,5.4,26872.24
Elba,SERC,hc7436_p01,NA,AL00292,31.364,-86.0936,AL,Coffee,31402020603,NA,NA,3,2.447,11000
Gantt,SERC,hc1595_p01,53,AL01414,31.4032,-86.4796,AL,Covington,31403010405,AEC,Run-of-river,2,3,5758.18
Point A,SERC,hc1596_p01,55,AL01413,31.361,-86.5184,AL,Covington,31403010501,AEC,Run-of-river,3,5.2,15182.94
Castaic,WECC,hc1465_p02,392,CA00052,34.6443,-118.7643,CA,Los Angeles,180701000000,LDWP,NA,7,56,70823.82
North Hollywood,WECC,hc4138_p01,57854,"NA",34.194444,-118.39028,CA,Los Angeles,180701000000,LDWP,NA,8,9,365
Allatoona,SERC,hc0202_p01,760,GA03742,34.16385908,-84.72763731,GA,Bartow,31501041301,SOCO,Peaking,3,86.6,106405
Weiss Dam,SERC,hc1261_p01,20,AL01415,34.1721,-85.7539,AL,Cherokee,31501051003,SOCO,Peaking,3,87.6,201958.94
H Neely Henry Dam,SERC,hc1260_p01,11,AL01416,33.7833,-86.0533,AL,"Calhoun, St Clair",31501060409,SOCO,Peaking,3,72.9,180304.94
Logan Martin Dam,SERC,hc1259_p01,14,AL01417,33.4267,-86.3383,AL,"St Clair, Talladega",31501060803,SOCO,Peaking,3,128.1,336225.82
Lay Dam,SERC,hc1258_p01,15,AL01418,32.9637,-86.5171,AL,"Chilton, Coosa",31501070503,SOCO,Run-of-river,6,177,528481.41
Mitchell,SERC,hc1010_p01,17,AL01424,32.805,-86.4467,AL,"Chilton, Coosa",31501070906,SOCO,Run-of-river,4,170,450496.18
Jordan Dam,SERC,hc1059_p01,13,AL01423,32.6187,-86.2583,AL,Elmore,31501070906,SOCO,Run-of-river,4,100,295413.47
