EIA_ID,plant,state,bal_auth,original 10k bus,capacity,new bus
814,Clear Lake,ID,IPCO,74333,2.5,bus_74104
815,Lower Malad,ID,IPCO,74199,13.5,bus_74104
816,Lower Salmon,ID,IPCO,74199,60,bus_74104
818,Shoshone Falls,ID,IPCO,74322,11.5,bus_50196
819,Swan Falls,ID,IPCO,74228,25,bus_74001
821,Twin Falls,ID,IPCO,74322,52.7,bus_50196
822,Upper Salmon A,ID,IPCO,74332,18,bus_74104
827,Grace,ID,PACE,74317,33,bus_50196
829,Oneida,ID,PACE,74284,30,bus_50196
831,Soda,ID,PACE,74318,14.5,bus_50196
833,Cabinet Gorge,ID,AVA,74236,265.2,bus_74235
835,Post Falls,ID,AVA,74212,14.5,bus_10677
850,Palisades,ID,BPAT,74196,176.4,bus_70000
917,Quincy Chute,WA,GCPD,10901,9.4,bus_10558
2181,Black Eagle,MT,NWMT,77200,24,bus_74132
2182,Cochrane,MT,NWMT,77267,60.4,bus_74132
2186,Holter,MT,NWMT,77270,38.4,bus_74132
2188,Séliš Ksanka QÍispé,MT,NWMT,77236,207.6,bus_74235
2191,Morony,MT,NWMT,77294,63,bus_74132
2194,Ryan,MT,NWMT,77291,52.8,bus_74132
2195,Thompson Falls,MT,NWMT,77252,98.1,bus_74235
2199,Noxon Rapids,MT,AVA,77274,569.5,bus_74235
2204,Yellowtail,MT,WAUW,77216,268.8,bus_77001
3013,Hells Canyon,OR,IPCO,13597,391.5,bus_13446
3014,Oxbow_OR,OR,IPCO,13543,190,bus_13446
3020,Clearwater 1,OR,PACW,13603,15,bus_13000
3021,Clearwater 2,OR,PACW,13659,26,bus_20007
3024,Eagle Point,OR,PACW,13632,2.8,bus_13366
3025,East Side,OR,PACW,13522,3.2,bus_13366
3026,Fish Creek,OR,PACW,13600,11,bus_13000
3028,John C Boyle,OR,PACW,13460,98.7,bus_13366
3029,Lemolo 1,OR,PACW,13633,32,bus_13366
3032,Prospect 1,OR,PACW,13612,3.8,bus_13366
3033,Prospect 2,OR,PACW,13612,32,bus_13366
3034,Prospect 3,OR,PACW,13612,7.2,bus_13366
3035,Prospect 4,OR,PACW,13612,1,bus_13366
3036,Slide Creek,OR,PACW,13600,18,bus_13000
3037,Soda Springs,OR,PACW,13600,11,bus_13000
3040,Toketee,OR,PACW,13680,42.6,bus_13000
3045,Faraday,OR,PGE,13593,19.2,bus_10093
3047,North Fork,OR,PGE,13593,40.8,bus_10093
3048,Pelton,OR,PGE,13663,109.8,bus_10093
3049,River Mill,OR,PGE,13593,18.8,bus_10093
3050,Round Butte,OR,PGE,13526,372.5,bus_13504
3053,Sullivan,OR,PGE,11050,15.4,bus_10093
3067,Carmen Smith,OR,BPAT,13454,114.3,bus_10093
3068,Leaburg,OR,BPAT,13586,15.9,bus_20007
3071,Walterville,OR,BPAT,13563,8,bus_10093
3646,Cutler,UT,PACE,50379,30,bus_50196
3847,Merwin,WA,PACW,10955,136,bus_10093
3850,Swift 1,WA,PACW,10742,240,bus_10093
3852,Yale,WA,PACW,10813,134,bus_10093
3854,Electron,WA,PSEI,10836,22.8,bus_10228
3855,Lower Baker,WA,PSEI,10758,111.2,bus_10228
3861,Upper Baker,WA,PSEI,11037,104.8,bus_10228
3866,Little Falls,WA,AVA,11054,43.2,bus_10677
3867,Long Lake,WA,AVA,10972,70,bus_10677
3868,Meyers Falls,WA,AVA,10818,1.6,bus_11016
3869,Nine Mile,WA,AVA,10869,37.6,bus_10677
3891,Box Canyon,WA,AVA,10993,90,bus_74053
3913,Alder,WA,TPWR,10998,50,bus_10093
3914,Cushman 1,WA,TPWR,11008,43.2,bus_10228
3915,Cushman 2,WA,TPWR,10731,84.6,bus_10228
3916,LaGrande,WA,TPWR,10842,64,bus_10093
