EIA_ID,lead,NSE,KGE,r2,RMSE,PBIAS,type
145,0,0.9564900471417925,0.9780485252391621,0.97830217803453845,4.248796954902591,0.2,Persistence
145,1,0.8694231315077293,0.9345060708913225,0.9354380533565183,7.3026377709095875,0.4,Persistence
145,2,0.786593833802996,0.8938985486601736,0.8946394640512818,9.319810885188785,0.4,Persistence
145,3,0.7345383806156065,0.8678600641477721,0.871140399418619,10.249760938142765,1.3,Persistence
145,4,0.6931433301140069,0.8479373399262562,0.8506511730098046,11.044167011964642,1.6,Persistence
145,5,0.6451835776893511,0.8239732994092183,0.8242045094596625,12.053139709468875,0.1,Persistence
145,6,0.6336312294548602,0.8168141914444073,0.8168196712603889,12.357116152096884,-0.1,Persistence
149,0,0.8817012893682588,0.9309960510007163,0.9439113137705686,16.44228273084807,0.1,Persistence
149,1,0.5001302894804198,0.7293641234531852,0.8025795921264556,29.759201687201987,3.7,Persistence
149,2,0.07223253815795805,0.5762658817660443,0.6287284168254774,40.045478957565216,5.7,Persistence
149,3,-0.014818731079726088,0.5065808026356745,0.5086671791218068,48.567531732789774,3.3,Persistence
149,4,0.07162886100845112,0.5435589439396122,0.5439090806692924,47.091601618880055,0.4,Persistence
149,5,0.15353754757674976,0.5799919160916682,0.5800960167593794,45.39315991661938,-0.5,Persistence
149,6,0.1433519603837382,0.5717122175399267,0.5717142669832097,46.01944573157669,-0.1,Persistence
150,0,0.9796126694043004,0.9873128263704587,0.9897754488394098,2.751158087207509,-0.4,Persistence
150,1,0.9583636969118361,0.9753589702394725,0.979069871088806,3.9479141887260387,-0.8,Persistence
150,2,0.9404814629150168,0.9685805564539378,0.9700925764468147,4.703935028938278,-0.7,Persistence
150,3,0.9245982391814447,0.9606161304855554,0.9620488930095336,5.301950665899584,-0.6,Persistence
150,4,0.91207339178784,0.9558350825913936,0.9559227958420712,5.692248315209283,-0.1,Persistence
150,5,0.9097602535395602,0.9547510750090118,0.9548644948061842,5.754342489766928,-0.3,Persistence
150,6,0.8842803606664743,0.9420624484226695,0.9420906875731571,6.51859297540911,-0.2,Persistence
152,0,0.9891707167200642,0.9908146804993734,0.9946615427518786,24.805061981461577,-0.1,Persistence
152,1,0.9411887133661363,0.9702790246660832,0.9705482371449712,58.40801541022573,-0.3,Persistence
152,2,0.9111407562012149,0.9547648046424253,0.9552978421678662,72.06837731689774,-0.1,Persistence
152,3,0.8897794011275769,0.9439918878996384,0.9445016211883039,80.32247316593939,-0,Persistence
152,4,0.8703272170973974,0.9350475051249711,0.9350683219564727,86.59848566947663,0.1,Persistence
152,5,0.8738834244005834,0.9369701911638659,0.9374751300344408,84.61552094275817,0.2,Persistence
152,6,0.8959167256810306,0.9479424675307058,0.9479441058719179,77.48888564791847,0,Persistence
